"","produk","price"
"1","Machiato",14000
"2","espresso",8000
"3","Americano",10000
"4","Eiskaffee ",18000
"5","Espressino",20000
"6","aceh gayo",10000
"7","gowa",10000
"8","bali kintamani",10000
"9","flores bajawa",10000
"10","toraja",10000
"11","papua",12000
"12","jawa preanger",10000
"13","ciwidey",10000
"14","mandailing",10000
"15","greentea latte",14000
"16","red velvet latte",14000
"17","taro  latte",14000
"18","tiramiss u",14000
"19","Tea black currant",9000
"20","eart Grey",9000
"21","darjeeling",9000
"22","pure green",9000
"23","Bread Loaf Hotdog",13000
"24","toast",9000
"25","Mixed Snack",10000
"26","Cake Cubit",13000
"27","Fried banana",9000
"28","Vanilla",14000
"29","Caramel",14000
"30","Hazelnut",14000
"31","White Choco",14000
