"","produk","price"
"1","Avocatto Choco",27000
"2","Avocatto Vanilla",27000
"3","Coffeenade",23000
"4","Es Kopi Baileys",23000
"5","Es Kopi Berry",18000
"6","Es Kopi diRegalin",23000
"7","Es Kopi Item",12000
"8","Es Kopi Keju",25000
"9","Es Kopi Kulo",15000
"10","Es Kopi SpeKULO",23000
"11","Es Kopi Nam",17000
"12","Es Kulocado",22000
"13","Cookies & Cream",23000
"14","Es Blackforest",23000
"15","Es Cokelat",18000
"16","Es Cokelat Keju",25000
"17","Es Hojicha",20000
"18","Es Hojicha Cheese",25000
"19","Es Matcha Keju",25000
"20","Es Matcha Latte",20000
"21","Es Regalin Aja",20000
"22","Es Strawberry Cheesecake",25000
"23","Es Yakult Berry",15000
"24","Kopi Latte",16000
"25","Coklat",19000
"26","Hojicha",21000
"27","Matcha Latte",21000
"28","Kopi Hitam",13000
"29","Kopi SpeKULO",24000
"30","Kopi Baileys",24000
"31","Kopi Kulo",16000
"32","Kosuka (Kopi Susu Karamel) Purin",22000
"33","Sisuka (Susu Karamel) Purin",18000
"34","Matcha Purin",24000
"35","Cokelat Purin",22000
"36","Hojicha Purin",24000
"37","Kopi Baileys Purin",27000
"38","Purin Caramel",11000
"39","Espresso",4000
"40","Kopi Kulo 1 Lt",70000
"41","Coklat 1 Lt",70000
"42","Matcha Latte 1 Lt",75000
"43","Hojicha Latte 1 Lt",75000
"44","Kopi Baileys 1 Lt",85000
"45","Kopi Nam 1 Lt",70000
