"","produk","price"
"1","Jizi Blueberry Large (ice)",30000
"2","Jizi Strawberry Large (ice)",30000
"3","Jizi Kiwi Large (ice)",30000
"4","Jizi Lychee Large (ice)",30000
"5","Jizi Pomegranate Large (ice)",30000
"6","Susu Kurma Large (ice)",18000
"7","Matcha Reguler ( ice/hot)",18000
"8","Boba Milk Brown Sugar Reguler (ice)",21600
"9","Biscof Large (ice)",30000
"10","Kopi Susu Hazelnut Reguler (ice)",21600
"11","Kopi Susu Caramel Reguler (ice)",21600
"12","Kopi Susu Vanila Reguler (ice)",21600
"13","Kopi Susu Gula Aren Reguler (ice)",21600
"14","Kopi Susu Tiramizu Reguler (ice)",21600
"15","Mango Tea Macchiato Reguler (ice)",18000
"16","Peach Tea Macchiato Reguler (ice)",18000
"17","Passion Fruit Tea Macchiato Reguler (ice)",18000
"18","Ovaltine Macchiato Reguler (ice)",18000
"19","Choco Creamy Reguler (ice/hot)",14400
"20","Choco Creamy Large (ice)",18000
"21","Choco Royal Reguler (ice/hot)",14400
"22","Choco Royal Large (ice)",18000
"23","Choco Black Reguler (ice/hot)",14400
"24","Choco Black Large (ice)",18000
"25","Choco Dark Creamy Reguler (ice/hot)",14400
"26","Choco Drak Creamy Large (ice)",18000
"27","Choco Malt Reguler (ice/hot)",14400
"28","Choco Malt Large (ice)",18000
"29","Choco Caramel Reguler (ice/hot)",14400
"30","Choco Caramel Large (ice)",18000
"31","Choco Cheese Reguler (ice/hot)",14400
"32","Choco Cheese Large (ice)",18000
"33","Choco Hazelnut Reguler (ice/hot)",14400
"34","Choco Hazelnut Large (ice)",18000
"35","Choco Taro Reguler (ice/hot)",14400
"36","Choco Taro Large (ice)",18000
"37","Choco Red Velvet Reguler (ice/hot)",14400
"38","Choco Red Velvet Large (ice)",18000
"39","Choco Black Forest Reguler (ice/hot)",14400
"40","Choco Black Forest Large (ice)",18000
"41","Choco Avocado Large (ice)",18000
"42","Choco Avocado Reguler (ice/hot)",14400
"43","Cheese Steak Toast",24000
"44","Moju Pan Toast",24000
"45","Tuna Mayo Toast",24000
"46","Strawberry Peanut Butter Toast",18000
"47","Choco Crumble",18000
"48","Cheesy Milky",18000
"49","Cookies And Cream",18000
"50","Boba Pan Toast",18000
"51","Srikaya Butter Toast",18000
"52","Mango Tea Reguler (ice)",18000
"53","Mango Tea Large (ice)",21600
"54","Strawberry Tea Reguler (ice)",18000
"55","Strawberry Tea Large (ice)",21600
"56","Peach Tea (aloevera) Reguler (ice)",18000
"57","Peach Tea (aloevera) Large (ice)",21600
"58","Lychee Tea Reguler (ice)",18000
"59","Lychee Tea Large (ice)",21600
"60","Honey Tea (aloevera) Large (ice)",21600
"61","Honey Tea (aloevera) Reguler (ice)",18000
