"","produk","price"
"1","Javas",20000
"2","Laksmi",20000
"3","Naya",20000
"4","Priya",20000
"5","Hassya",20000
"6","Kapti",20000
"7","Americano",20000
"8","Cappucino",26000
"9","Latte",26000
"10","Flat White",26000
"11","Mochacino",26000
"12","Flavour Latte",28000
"13","Chocolatte",20000
"14","Red Velvet",20000
"15","Matcha",23000
"16","Taro",20000
"17","Strawberry Mojito",20000
"18","Mint Mojito",20000
"19","Peach Mojito",20000
"20","Regular Beans",23000
"21","Guest Beans",35000
"22","Regular Beans 2",28000
