,review,timestamp,rating,username
0,,1 hari yang lalu,5.0,Teguh Aprilianto
1,"Lokasi berada di seputaran kawasan Kampus Universitas Muhammadiyah Surakarta (UMS)  dan Pondok Pesantren Moden Islam (PPMI) Assalam, cafe ini sesuai tag line nya ""artisan drink"" mengkhusukan penawaran pada sajian aneka minuman mulai dari varian coffee, tea, dan aneka minuman coffee free maupun miniman berbahan dasar buah. Untuk makanan hanya tersedua beberapa toast. Bangunan artistik 2 lantai dengan desain interior yg cukup asthestic membuat para pengunjung betah berlama2 di cafe yang satu ini. Untuk yg suka outdoor dan hobby ngevape atau ngerokok bisa memilih lantai atas. Nah buat yg suka ruangan ber AC ada di lantai bawah. Area parkir untuk motor cukup luas,untuk mobil lebih ke parkir pinggiran jalan tapi cukup untuk bbrp mobil dan jalanan di area cafe ini bukan jalanan yg padat. Jadi gag gtu ganggu lalu lintas,tapi tetep aja hrs parkir y bener ya. Untuk harga minuman cukup murah untuk standar cafe. Dan masih ada diskon 20% selama promo grand opening.",1 hari yang lalu,4.0,Yuda Karingga
2,,1 hari yang lalu,5.0,Feri Imawati
3,(Diterjemahkan oleh Google) Suasana luar biasa  (Asli) Great atmosphere,4 hari yang lalu,5.0,Kevin Adi Wibowo
4,"Tempat instagramable bgt, cozy dibawah untuk ac, diatas non ac, sering ramai",4 hari yang lalu,5.0,Elya hanifa
5,(Diterjemahkan oleh Google) Enakk tmpat nyaaaa gaaaiisssss  (Asli) Enakk tmpat nyaaaa gaaaiisssss,5 hari yang lalu,5.0,Pandu Dwi
6,"Parah ! Tempat ngopi baru yang rekomended banget cui ! Gimana dong, minumannya enak semua, gak ada yg enggak, mau kopi, susu, machiato apalah, semua enak, cuma kemanisan aja hahaha Yang gak suka manis bisa request less sugar kalik ya. Makanan, cuma ada toast jangan harap ada yg lain ya. Harganya mulai 18rb aja buat minumannya cuy, murah kan ya 😍  DILARANG BAWA MAKANAN DARI LUAR ! hahaha   Oke, tempat, bagus banget ! Penataan meja kursi good sih, tempatnya yg kecil jadi gak sempit sempit amat, ruang bawah ac (no smooking), ada colokannya juga. Meja gak bisa digabung (gak tau untuk temporary aja atau permanent). Atas smooking area (gak ada colokan), nyaman, desain kursi dan meja gak worth it dan gak nyaman sama sekali (yg bulet), meja goyang goyang dan muter terus, kursi gak nyaman buat duduk, dan gampang bikin 'nggoling', mungkin bisa diperbaiki, asbak kurang banyak cuy. Speaker ada tapi gak difungsikan secara maksimal. Di atas gerah, bagus lagi kalo ada kipas cuy.  Oh iya di sini pemandangannya sawah, kalau sore cakep banget cuy ! Semakin malam semakin ramai tapi gak boleh rame, kalau bicaranya kekencengan nanti bakal diingetin sama baristanya (soalnya ngeganggu tetangga) jadi agak gak seru sih. Di mana mana ada cctv.  Pelayanan baik, semua baik, ada beberapa yg perlu diperbaiki, semoga ditingkatkan.  🔥🔥🔥",5 hari yang lalu,4.0,Safina Khansa
7,"Enak, cocok buat yg lagi bored karna tugas numpuk, sabi bett kesini sambil nongki nongki",6 hari yang lalu,5.0,Fajar HG
8,"tempatnya cozy,minuman enak,range harga tergolong standart untuk cafe-cafe",seminggu yang lalu,5.0,Handi Firdaus
9,Tempat nya enak nyaman.. cocok buat ngopi sambil baca².. kopi sama toast nya enak.. recommended,seminggu yang lalu,5.0,rossy kusumaningtyas
10,Pas untuk nongkrong,seminggu yang lalu,5.0,Sansan
11,,seminggu yang lalu,4.0,Asri Wijayani
12,Minuman kemanisan tapi tempatnya nyaman,seminggu yang lalu,4.0,Rama Kusuma Rama
13,,seminggu yang lalu,5.0,Mutia Hidayati Rahman
14,Tempatnya bersih...menunya enak...lagi ada promo discount...mantapp...,2 minggu yang lalu,5.0,Leo Item
15,,2 minggu yang lalu,4.0,dilaa amell
16,"Tempatnya enak, nyamannn buat nyore...minuman dan makanan juga enak dan murah. Masih diskon 20% sampe skrg....buble teanya rekomended sihh",2 minggu yang lalu,5.0,Dizn Adi
17,,2 minggu yang lalu,5.0,Ranu Drumer
18,,2 minggu yang lalu,4.0,Indah Nur 'Aini
19,,3 minggu yang lalu,5.0,Mariska Kristina
20,"Moju moju adalah salah satu cerita hidupku. Memory lucu saat menemukannya tidak akan pernah aku lupakan. Rekomendasi barista waktu itu adalah seduhan terbaik menurutku , sampai hari ini : kopi susu hazelnut. 😍",4 minggu yang lalu,5.0,Sidiq Nugroho
21,"kalo hunting kafe saran saya cobain kopi susu nya, moju moju punya mantap, ngga ketinggalan, cheese steak toast nya, sangat enak—worth it nih. tempat asik buat nugas apalagi ngobrol, sangat menarik buat spot foto, pelayanan mbak..mas nya ramah sih, hehe. nice moju moju, #LetyourstorycompletesUs",4 minggu yang lalu,5.0,Afif az-zahro
22,"tempat nongkrong paling asik di daeeah kampus UMS nih,tapi ttep jaga jarak y guys dan ikuti prosedur new normal",sebulan yang lalu,5.0,timikebudiyana
23,"barista nya ramah"" banget gak nyangka. murah meriah lagi sama enak banget. tempat juga bersih rapi, intinya nyaman banget buat ngerjain tugas/nongki""😻😻",sebulan yang lalu,5.0,shahrizaha rinandito
24,Harus kesiniii bgt sih,sebulan yang lalu,5.0,Sintia Nora
25,"PARAH TEMPAT NYA BAGUS POLL, MURAH BANGET BUAT NGOPIII PARAHHH, WAJIB COBA",sebulan yang lalu,5.0,Chairo Me
26,"Tempatnya bagus, minumanya juga oke",sebulan yang lalu,5.0,Yasmine Calista
27,tempat nya aesthetic parahhh😍😍😍😍,sebulan yang lalu,5.0,Annayla Ifa
28,(Diterjemahkan oleh Google) Menu jizi direkomendasikan! Terutama jizi blueberry & jizi kiwi :)  (Asli) Menu jizi recommended! Especially jizi blueberry & jizi kiwi :),sebulan yang lalu,5.0,aryo
29,Oks banget....,sebulan yang lalu,5.0,Joyfck Boy
30,Tempatnya keren..menunya enak,sebulan yang lalu,5.0,Solda Solda
31,"(Diterjemahkan oleh Google) Tempat yang bagus, rasanya enak  (Asli) Good place good taste",sebulan yang lalu,5.0,vevry saputro
