,review,timestamp,rating,username
0,"Tempat nyaman, harga terjangkau, manual brew nya mantep, lokal beans, jos",4 hari yang lalu,5.0,Dhimas Setiadi
1,,seminggu yang lalu,4.0,dilaa amell
2,"One of many recomended coffee place in solo. Tempatnya cozy, asyik buat nongkrong cantik. Pelayanan cepet, bisa bayar pakai debit juga. Nyobain redvelvet mantap juga rasane. Kupikir krn menu utama coffee bakalan mengabaikan side dish, ternyata tetep enak kok. Eh iya bs smpek malam disini. Wifi juga kenceng, kursi2nya nyaman juga. And the last, tempatnya cakep buat foto .",3 minggu yang lalu,4.0,alfiani riskah
3,,sebulan yang lalu,5.0,Dandi jr
4,,sebulan yang lalu,5.0,Habeeb Rahman
5,,sebulan yang lalu,5.0,joko subiyantoro
6,,sebulan yang lalu,5.0,Mar'atus Sholihah
7,"(Diterjemahkan oleh Google) tempat yang bagus, suasana yang baik, layanan yang baik  (Asli) good place , good ambience , nice service",sebulan yang lalu,5.0,Hendra Adzana Putra
8,Tempat yang nyaman untuk ngopi dan mengerjakan tugas,sebulan yang lalu,5.0,Muhammad Hasbi Ash Shiddiqy
9,,3 bulan lalu,5.0,tikaa
10,,3 bulan lalu,5.0,ajeng llsd
11,"Kopinya enak, rotinya enak. Harga untuk kopi sejenis di daerah sini memang selisih sedikit, cuma rasanya sesuai dg selisihnya itu. Seringnya sih take away.",4 bulan lalu,4.0,Andri Ardiansyah
12,,4 bulan lalu,4.0,Haekal Wibisono
13,"Kopinya enak, apalagi signaturenya yg belgian sweet, juara banget. Nice ambience, tenang banget, cocok buat nugas atau cuman mau nongkrong aja, ada musholanya juga, dan baristanya juga ramah.",4 bulan lalu,5.0,Bella Novia Ardhana
14,"Recommended buat haha hihi bareng temen², buat nugas oke juga, cuman kurang menu Snack nya..",4 bulan lalu,5.0,Ulfah Ilmi
15,Tempat tongkrongan termantep,4 bulan lalu,5.0,Amnaduny Akhara
16,Mantap mamanggg,4 bulan lalu,5.0,gangsar top
17,,4 bulan lalu,5.0,Adelia Noor rahma
18,,4 bulan lalu,5.0,Kurnia Surya Pratama
19,,4 bulan lalu,5.0,Raka Pratama Tiyarno
20,"Tempatnya cocok buat nugas dan kerja, penerangannya bagus.. ngga jauh juga dari UMS Coba kopi susunya, enak ☺️☺️",4 bulan lalu,5.0,I Gede Teguh Pratama
21,,4 bulan lalu,5.0,Anggit Wirahma
22,,4 bulan lalu,5.0,Mazharbasid
23,(Diterjemahkan oleh Google) Kafe yang sangat menyenangkan dengan beragam kopi dan minuman non-kopi. Rasanya nyaman di sana. ACnya juga bagus.  (Asli) A very pleasant café with different coffee and non-coffee drinks. It feels cozy there. The AC is also good.,4 bulan lalu,5.0,Anton Kunin
24,,4 bulan lalu,5.0,Wafersaurus
25,"Jenis biji kopi hanya beberapa varian, meskipun begitu, kwalitas dan hasil seduhannya josss gandos. Tersedia area merokok. Tempat bersih dan pelayanan cukup ramah dan bagus. Kekurangan: menu cemilan hanya roti saja dan itupun hanya 2 varian. Salut untuk Baristanya. Jossss.",4 bulan lalu,4.0,Dwi Apriyanto Saputro
