,review,timestamp,rating,username
0,,21 jam yang lalu,5.0,alfarian putra
1,,2 minggu yang lalu,5.0,Arox banget
2,,2 minggu yang lalu,5.0,Malik Fatta
3,Harga sama pelayanan+tempat yang cocok. Nggak pernah bosen main sini sekedar nongkrong/nugas juga muwanteb.,2 minggu yang lalu,5.0,anggara Tok
4,Tempatnya enak buat duduk-duduk ghibah. Tapi wifinya kemaren pas kesana kenapa lemot sekali 😭,2 minggu yang lalu,4.0,Rida Noviana Putri
5,Tempat asik buat nyeruput kopi bareng teman2.,2 minggu yang lalu,5.0,Pariandarta Parmoedji
6,Tempatnya nyaman. Cocok untuk nugas atau sekadar nongkrong. Tersedia colokan dan wifi.,2 minggu yang lalu,5.0,Mufisme
7,,3 minggu yang lalu,4.0,Rafiel CS
8,,4 minggu yang lalu,5.0,Jackson Paruka
9,"Ramai, seru, dan kadang digunakan untuk acara tertentu. Pada saat masuk ada seperti stand penjualan.",4 minggu yang lalu,5.0,aditya septiawan
10,(Diterjemahkan oleh Google) Nyaman dan harga terjangkau 👍  (Asli) Cozy and affordable price 👍,sebulan yang lalu,5.0,Akhmad Setyawan Pratama
11,,sebulan yang lalu,5.0,Abdul Rosid
12,,sebulan yang lalu,5.0,Febriana Erlita Putri
13,,sebulan yang lalu,4.0,Herlambang SN
14,"Tempatnya keren, wifinya kenceng.. recomended banget",sebulan yang lalu,5.0,WENING DAMAYANTI
15,,sebulan yang lalu,4.0,Hendi Yudatama
16,,sebulan yang lalu,1.0,Rendra La
17,,sebulan yang lalu,5.0,Ratna Rosyi
18,"Cukup ramai, hidangan variatif, ada stand produk lokal, toilet bersih, parkir luas, ada space untuk mengadakan kumpul kumpul/bikin acara di lantai 2",sebulan yang lalu,5.0,Agung Nugroho Putro
19,Ramah,sebulan yang lalu,5.0,Ekky Octo
20,,2 bulan lalu,5.0,Jonet Muhammad Sahid
21,"Satu kata ""NYAMAN""👍",2 bulan lalu,5.0,Nur Exsan Ansori
22,"Dua tiga makan sayap, asiapp",2 bulan lalu,5.0,hanif nur kholis
23,Saya sangat menyukai tempat ini,2 bulan lalu,5.0,bhetrisno septiono
24,,2 bulan lalu,4.0,Rizki Kai
25,,3 bulan lalu,5.0,Lail Nur
26,,3 bulan lalu,3.0,Almukalis farisada
27,(Diterjemahkan oleh Google) Sakjose  (Asli) Sakjose,3 bulan lalu,5.0,Hary Sukma
28,,3 bulan lalu,4.0,bekti sulasyono
29,,3 bulan lalu,5.0,karomah annisatuliza
30,,3 bulan lalu,5.0,Ika Norma Sari
31,"Temaptnya asik sih. Agak nyelip di gang kecil, tp parking areany lumayan luas. Toiletnya bersih.   Cuma minumannya nunggunya terlalu lamaa 😐",3 bulan lalu,4.0,Ruth Kiana Nuratri
32,,4 bulan lalu,4.0,Fidhantyo Kusmarindro
33,"Tempat nya bagus nyaman, bersih, rapih, harga standar , cuman di tempat smoking area kurang kipas nya atau kurang besar karena terasa Lebih panas walaupun di malam hari.",4 bulan lalu,4.0,miftah ganjar alfian
34,,4 bulan lalu,5.0,byan sizzy
35,,4 bulan lalu,5.0,Innayatullah Riun
36,"Tempat oke, kopinya kulo juga enak, Cuma untuk outdoor agak panas playlist musiknya juga kurang update sm speaker krg mantap karna kalo rame lagunya ketutup sm org yg berisik ya Overall oke aku kasih nilai 8 buat tempat ini",4 bulan lalu,3.0,Ambar Kinasih7191
37,,4 bulan lalu,4.0,Nazih Ilham
38,Ramah kepada pengunjung,4 bulan lalu,5.0,muhammad hendra
39,,4 bulan lalu,5.0,Nourmalihah Tsaqif
40,"Unik, tempatnya beda dari yg lain, dan iconnik",4 bulan lalu,5.0,ANDHIKA NUGROHO
41,(Diterjemahkan oleh Google) Baik untuk hangout dengan teman  (Asli) Good for hangout with friends,4 bulan lalu,5.0,Dewa Xsone
42,,4 bulan lalu,5.0,Chika Ramadani
43,"Tempatnya nyaman dan asik buat ngobrol santai. Meskipun lokasinya terletak di gang, tapi akses masih tergolong mudah. Harga nya juga masih relatif standart seperti tempat nongkrong lainya di daerah solo.",4 bulan lalu,4.0,Dalona A Nugroho
44,,4 bulan lalu,4.0,Ismail Nugraha
45,Nyaman,4 bulan lalu,5.0,rois kuntoro adi
46,,4 bulan lalu,3.0,Ashri Afia
47,,4 bulan lalu,4.0,alif raihandika
48,,4 bulan lalu,4.0,Bagas Nurhidayah
49,,4 bulan lalu,4.0,nindya aypra
50,(Diterjemahkan oleh Google) Tempat unik untuk hangout dan menikmati kopi dan fingerfood!  (Asli) Unique place to hangout and enjoying coffee and fingerfood!,4 bulan lalu,5.0,Aditya Widyarko
51,Kopinya mantap..,4 bulan lalu,5.0,hesthisara hudana reswari
52,"Cafe kopi Kulo, di lt2 ruang terbuka bisa untuk adakan event",4 bulan lalu,5.0,Zaga
53,,4 bulan lalu,5.0,Andira Koza
54,,4 bulan lalu,4.0,Adhi
55,,4 bulan lalu,5.0,Purwanto Anto
56,(Diterjemahkan oleh Google) Tempat yang bagus  (Asli) Nice place,4 bulan lalu,5.0,Imayarayani Suwito
57,,4 bulan lalu,5.0,Diaz novian Ashar
58,"Cozy banget, free wifi, nyaman pokoknya",4 bulan lalu,5.0,Asiska Tri Vidyaningrum
59,,4 bulan lalu,5.0,Alek Sunarto
60,,4 bulan lalu,4.0,monica sarah
61,,4 bulan lalu,5.0,Nasir Muhson 074
62,,4 bulan lalu,4.0,Aninke Marsha
63,"Tempatnya bersih,makanannya lumayan enak dgn harga terjangkau dn wifinya wuzzz...",4 bulan lalu,4.0,Lina Moelyono
