,review,timestamp,rating,username
0,"Tempat n rasa ok, pelayanan juga ramah .. Recommended 👍🏻",3 hari yang lalu,5.0,Gahan Nugraha
1,"Tempatnya nyaman buat nongkrong, ada tiga lantai. Smoking area ada di lantai 2 dan lantai 1 di depan. Hampir semua tempat duduk ada colokannya, aman lah buat mentemen yang mau nugas sambil ngopi. Ada banyak game yang bisa dimainin bareng temen2 kayak halma, uno, jenga, remi, dll. Buat yang suka baca, ada banyak pilihan buku juga yang bisa dibaca.",seminggu yang lalu,5.0,Aulia Ghina Nugraheni
2,Tempat nya adem asik buat diskusi dan ngerjakan tugas2 nih.. Wifi lancar dan colokanny ada kalau kalian yg suka deket2 dengan colokan listrik nih😁🙏💪,seminggu yang lalu,5.0,zafran vahrizha
3,,2 minggu yang lalu,5.0,min alfin
4,"Pelayanannya bagus, ramah, tempatnya nyaman enak buat nongkrong ataupun nugas. Harga juga terjangkau tidak mahal.. Wajib mampir lahh pokoknya",2 minggu yang lalu,4.0,Mar Sena
5,,4 minggu yang lalu,5.0,Lil Pumpkins Music
6,"Pelayanannya kurang custumer dateng ga greeting, malah pake earphone",sebulan yang lalu,2.0,Putri Dwi L
7,,sebulan yang lalu,5.0,ahmad jamil
8,Mienya organik (sehat dari sayur-sayuran) Dan rasa Sayurnya nggak kerasa. Cocok bagi yang nggak suka sayur tapi pengen nutrisi seimbang,3 bulan lalu,5.0,Tasya Ayu Oktayana
9,,4 bulan lalu,5.0,Bagus Kuncoro Adi
10,,4 bulan lalu,5.0,Sahal Al Bisyri
11,,4 bulan lalu,5.0,Master Madara
12,,4 bulan lalu,4.0,mardaniarsa
13,,4 bulan lalu,5.0,aldy hanf
14,,4 bulan lalu,5.0,Yeni Dwi Rahayu
15,,4 bulan lalu,5.0,Nourmalihah Tsaqif
16,,4 bulan lalu,5.0,Diaz novian Ashar
17,Nyaman,4 bulan lalu,5.0,Samsung J2prime
18,,4 bulan lalu,5.0,Bima Artha Wijaya
19,"Tempat nyaman bersih cocok bgt buat nugas dan baca-baca buku, tp porsi menu nya nanggung.",4 bulan lalu,4.0,Pisah Ranjang Official
20,,4 bulan lalu,4.0,ariq koyo
21,,4 bulan lalu,5.0,Chrisna Putra
22,Cafe baca tapi buku bacaannya masih sedikit hehe,4 bulan lalu,4.0,Jefry Arta
23,Password wifinya bikin berantem yg datang dalam kondisi perut kosong ataupun ngantuk🤣🤣🤣,4 bulan lalu,5.0,achmad ihsan nurhandri
