upload,caption,likes_list,hashtag,location,photo
2020-07-17T06:06:42.000Z,.Coming Soon.Nantikan pembaharuan kami di #cafebacacanarisla.#kopisususolo #kopisusuums #exploresolo #visitsolo #kedaikopiums #kedaikopisolo,381 views,#cafebacacanarisla #kopisususolo #kopisusuums #exploresolo #visitsolo #kedaikopiums #kedaikopisolo,,https://instagram.fcgk4-3.fna.fbcdn.net/v/t50.2886-16/108100578_560316671329940_4831242028973685910_n.mp4?_nc_ht=instagram.fcgk4-3.fna.fbcdn.net&_nc_cat=108&_nc_ohc=HEO3cjmRHnoAX-W37vi&oe=5F14F18C&oh=b98f1395dbcde76363b18d1748a72469
2020-07-15T08:11:54.000Z,INFOGRAPHIC KOPI.Terkadang kita suka lupa meminum atau memakan sesuatu berasal darimana dan sejarahnya darimana.Yaa walaupun tidal terlalu berpengaruh terhadap minuman atau makanan kita hahahaIni ada sedikit info tentan kopi..Semoga bermanfaat dan jikalau ada salah salah makna dan kata bisa tulis komentar dibawah yaah :).#cafebacacanarisla #infographic #grafis #design #kopisususolo #kopisusuums #exploresolo #kopidisolo #kopidiums #kedaikopi,23 likes,#cafebacacanarisla #infographic #grafis #design #kopisususolo #kopisusuums #exploresolo #kopidisolo #kopidiums #kedaikopi,,https://instagram.fcgk4-2.fna.fbcdn.net/v/t51.2885-15/e35/109141191_280671093026601_2304336730095199931_n.jpg?_nc_ht=instagram.fcgk4-2.fna.fbcdn.net&_nc_cat=109&_nc_ohc=_pQ3NOHKKqcAX-iecbi&oh=d5a6943acd13bdd6f14d0ac3d74837d6&oe=5F3BB6AB
2020-07-13T11:52:02.000Z,"Banyak metode pembuatan kopi selama #dirumahaja, pasti kamu punya cara/metodenya masing masing soal resep seduh yang kamu terapkan dirumah.Tapi ada juga yang bosen atau ga mau ribet membuat kopi, dengan metode manual..Jangan khawatir buat kawan kawan ""mager"" #CafeBacaCanarisla selalu siap sedia melayani dan membuatkan kopi sesuai selera kalian..#getyourcoffeegetastory #kopidisolo #kopidiums #kopisusuums #kopisususolo #manualbrew #v60 #exploresolo #visitsolo",36 likes,#dirumahaja #CafeBacaCanarisla #getyourcoffeegetastory #kopidisolo #kopidiums #kopisusuums #kopisususolo #manualbrew #v60 #exploresolo #visitsolo,,https://instagram.fcgk5-1.fna.fbcdn.net/v/t51.2885-15/e35/108202903_691939574716670_3836786763675676991_n.jpg?_nc_ht=instagram.fcgk5-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=uKmsTOYuXkUAX_fDOY8&oh=1ca5902130cca135732d6342ad9fe1a6&oe=5F3D1BB9
2020-07-10T10:35:40.000Z,".Untuk teman teman #CafeBacaCanarisla , kami selalu berusaha untuk memberikan pembaharuan dan pelayanan kami. Terutama setiap detail dari ruangan di tempat kami..Mohon maaf untuk ketidaknyamanan kalian saat proses perbaikan tempat..NANTIKAN SUDUT BARU DI CAFE BACA CANARISLA#cafebacacanarisla #exploresolo #visitsolot #cafedisolo #cafediums #kopidisolo #kopidiums #kopisusu #ruangbaca #ruangpublic",83 likes,#CafeBacaCanarisla #cafebacacanarisla #exploresolo #visitsolot #cafedisolo #cafediums #kopidisolo #kopidiums #kopisusu #ruangbaca #ruangpublic,,https://instagram.fcgk4-1.fna.fbcdn.net/v/t51.2885-15/e35/107098927_3213235658720208_7988368105141011700_n.jpg?_nc_ht=instagram.fcgk4-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=DSVT6hpD3VcAX_49-ku&oh=bf47971335b28cf9396a26bf3faced56&oe=5F3AE2E1
2020-07-06T12:04:23.000Z,".""Aku rela di penjara asalkan bersama buku, karena dengan buku aku bebas"" -Mohammad Hatta.Begitulah kata kata bijak dari Dr. H. Mohammad Hatta yang lebih di kenal dengan Bung Hatta..Untuk kalian yang ingin membaca buku tapi bosen atau bingung baca dimana ,#cafebacacanarisla ada beberapa koleksi buku yang free untuk kalian baca di tempat..#buku #kedaikopiums #kedaikopisolo #kopidisolo #kopidiums #bukudankopi #bacabukudicafe",39 likes,#cafebacacanarisla #buku #kedaikopiums #kedaikopisolo #kopidisolo #kopidiums #bukudankopi #bacabukudicafe,,https://instagram.fcgk5-1.fna.fbcdn.net/v/t51.2885-15/e35/106565059_265913981172763_4841140336533727387_n.jpg?_nc_ht=instagram.fcgk5-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=x7aLBL2SY3EAX_Q3QOm&oh=9a99cf7b55e9d7f7fdb81b1ab2b33db4&oe=5F3CD2FB
2020-07-03T07:52:13.000Z,".Ini salah satu barista dari #cafebacacanarisla , kalo kalian pernah atau sering ke cafe pasti ketemu dengan barista satu ini . Namanya mas Ben , kalo ketemu sapa aja dengan senyuman udah cukup kok.#barista #cafebacacanarisla #kopidisolo #kopidiums #coffeshopsolo #coffeeshop #kedaikopisolo #kedaikopiums",85 likes,#cafebacacanarisla #barista #cafebacacanarisla #kopidisolo #kopidiums #coffeshopsolo #coffeeshop #kedaikopisolo #kedaikopiums,,https://instagram.fcgk4-4.fna.fbcdn.net/v/t51.2885-15/e35/107205518_866157730560555_5336199106853944514_n.jpg?_nc_ht=instagram.fcgk4-4.fna.fbcdn.net&_nc_cat=103&_nc_ohc=QcsVGtorAiIAX-Sfz1M&oh=2e9987cb413031255866ee6a4cc170f4&oe=5F3DBE51
2020-07-01T05:54:47.000Z,".Nih, aku kasih rekomendasi 5 buka yang cocok untuk menemani kalian sama minum kopi..Kalo buku rekomendasi kamu apa ?Tulis di kolom komentar yah..#cafebacacanarisla #coffeeshop #kopidisolo #kopidiums #buku #kopiums #coffeshopsolo #tempatkopiums #tempatkopidiums",25 likes,#cafebacacanarisla #coffeeshop #kopidisolo #kopidiums #buku #kopiums #coffeshopsolo #tempatkopiums #tempatkopidiums,,https://instagram.fcgk4-2.fna.fbcdn.net/v/t51.2885-15/e35/106494470_3073496899399353_494868912839127671_n.jpg?_nc_ht=instagram.fcgk4-2.fna.fbcdn.net&_nc_cat=109&_nc_ohc=NQxtuSMfdMEAX8H5fhx&oh=7b0aec1bd56c57965c53c14d29606326&oe=5F3C8E11
2020-06-02T07:31:37.000Z,"Kopi Susu #cafebacacanarisla hadir kembali , untuk menemani kalian beraktifitas membaca dll . Kami sekarang sudah buka tiap hari loohh.Kami tunggu di #cafebacacanarisla #cafeums #kopidisolo #kopidiums #kopisusu #coffeeshopuns #coffeeshop",40 likes,#cafebacacanarisla #cafebacacanarisla #cafeums #kopidisolo #kopidiums #kopisusu #coffeeshopuns #coffeeshop,,https://instagram.fcgk5-1.fna.fbcdn.net/v/t51.2885-15/e35/101404883_738054550339675_2944280190674736229_n.jpg?_nc_ht=instagram.fcgk5-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=jMTv6rVc890AX_UTmja&oh=e7a3dc204e561372114fcb2076db8541&oe=5F3B9263
2020-05-31T05:28:05.000Z,"Hallo teman teman, apa kabar kalian semua ? Pada kangen nongkrong di #cafebacacanarisla ?. Hari ini cafebacacanarisla udah buka looh. Sesuai dengan protocol anjuran dari pemerintah , jangan lupa.- pakai masker pada saat order- cuci tangan/pakai handsanitizer sebelum atau sesudah bertransaksi- terapkan selalu jaga jarak...Stay safeStay healtyStay calm#cafeums #kopidisolo #kopisusu #getyourcoffeegetastory #coffeeshop #coffeeshopsolo #coffeeshopuns #ngopidiums #ngopidisolo",92 likes,#cafebacacanarisla #cafeums #kopidisolo #kopisusu #getyourcoffeegetastory #coffeeshop #coffeeshopsolo #coffeeshopuns #ngopidiums #ngopidisolo,,https://instagram.fcgk4-1.fna.fbcdn.net/v/t51.2885-15/e35/75252727_280765659740650_2742334325961995765_n.jpg?_nc_ht=instagram.fcgk4-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=2d-RuibdVnwAX8mp7mq&oh=8cc31268466536f012d74fa75e4060af&oe=5F3B7D9C
2020-03-28T09:30:37.000Z,"Penatnya kesibukan menjalani perkuliahan dan numpuknya tugas. #cafebacacanarisla memberi solusi kopi susu , siapa tau cocok dengan lidah kalian kawan..#cafeums #kopidisolo #kopisusu #getyourcoffeegetastory #kopidiums #coffeeshopsolo #coffeeshop",45 likes,#cafebacacanarisla #cafeums #kopidisolo #kopisusu #getyourcoffeegetastory #kopidiums #coffeeshopsolo #coffeeshop,,https://instagram.fcgk5-1.fna.fbcdn.net/v/t51.2885-15/e35/91339361_653003825498249_563346256006995347_n.jpg?_nc_ht=instagram.fcgk5-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=qFwjIbqwSmAAX-blpKo&oh=0e8b3514f35ef2cc7a47c1013ed336eb&oe=5F3D4D27
2020-03-24T08:14:57.000Z,"Daya tarik 'membaca buku' penduduk negara kita emang kurang , coba mulai deh . Mungkin bisa di temani dengan segelas kopi nusantara dari #cafebacacanarisla ..#coffeeshop #coffeeshopsolo #kopidisolo #kopiums #getyourcoffeegetastory",46 likes,#cafebacacanarisla #coffeeshop #coffeeshopsolo #kopidisolo #kopiums #getyourcoffeegetastory,https://www.instagram.com/explore/locations/104442774509754/cafebacacanarisla/,https://instagram.fcgk4-2.fna.fbcdn.net/v/t51.2885-15/e35/90701465_579685999302990_3051892956405904818_n.jpg?_nc_ht=instagram.fcgk4-2.fna.fbcdn.net&_nc_cat=106&_nc_ohc=aFXhlyRDNEoAX_oLspD&oh=c6f75bcfef6ab9c46b240c83f123b076&oe=5F3C410C
2020-03-22T11:41:05.000Z,"Berbincang , berdiskusi, bercanda menjadi hal yang mengasikan sebagai mahluk sosial . Kadang kopi dan tempat juga bisa jadi solusinya..#cafebacacanarisla #getyourcoffeegetastory #kopidisolo #kopidiums #coffeeshopsolo #coffeeshop",66 likes,#cafebacacanarisla #getyourcoffeegetastory #kopidisolo #kopidiums #coffeeshopsolo #coffeeshop,https://www.instagram.com/explore/locations/104442774509754/cafebacacanarisla/,https://instagram.fcgk4-1.fna.fbcdn.net/v/t51.2885-15/e35/90304988_654184512035147_8702517066209560370_n.jpg?_nc_ht=instagram.fcgk4-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=pdeJXyv8F10AX_1dv01&oh=01efe32e5b81aaacc9998d9d4b741acf&oe=5F3C98E0
2020-03-20T08:23:05.000Z,"Kembali ke hari hari kemarin , moment @pandji.pragiwaksono mengisi acara di @arabicfairuns dan #cafebacacanarisla berkesempatan untuk mensupport kopi dan tumbler dari kami. Yaaa walaupun tidak seberapa , tapi kita cukup senang..#arabicfairuns #pandjipragiwaksono #tumblercafebacacanarisla #kopidisolo #eventdisolo",114 likes,#cafebacacanarisla #arabicfairuns #pandjipragiwaksono #tumblercafebacacanarisla #kopidisolo #eventdisolo,,https://instagram.fcgk4-3.fna.fbcdn.net/v/t51.2885-15/e35/90227258_243192436841312_5112400456660685799_n.jpg?_nc_ht=instagram.fcgk4-3.fna.fbcdn.net&_nc_cat=108&_nc_ohc=7OrgsgYEcpIAX9C8V89&oh=73480a38d30dfc0eb6d6a7f0a784ca4f&oe=5F3C7D73
2020-03-16T08:08:34.000Z,""" Rice Bowl Fish Roll ""Salah satu menu makanan #cafebacacanarisla .Udah pernah ngerasain menu ini ? Menu makanan dengan isi Fish roll, Sayur sayur, Nasi . Lumayan bisa bikin kenyang perut...#getyourcoffeegetastory #coffeeshopsolo #kopidisolo #kopidiums #kopiums #ricebowlfishroll #makananums",61 likes,#cafebacacanarisla #getyourcoffeegetastory #coffeeshopsolo #kopidisolo #kopidiums #kopiums #ricebowlfishroll #makananums,https://www.instagram.com/explore/locations/104442774509754/cafebacacanarisla/,https://instagram.fcgk4-2.fna.fbcdn.net/v/t51.2885-15/e35/90091289_2647103595526662_3542005388685535564_n.jpg?_nc_ht=instagram.fcgk4-2.fna.fbcdn.net&_nc_cat=106&_nc_ohc=YcikHf76c4YAX_a4g1c&oh=2572826a50a1f6199ce9d1401213871c&oe=5F3D1ED1
2020-03-14T11:19:25.000Z,"Es Kopi Susu Tinta Merah.Perpaduan Kopi, Susu, Syrup pisang susu . Salah satu signature Kopi Susu #cafebacacanarisla .#getyourcoffeegetastory #kopidisolo #kopidiums #coffeeshopsolo #kopisusu #kopiums",42 likes,#cafebacacanarisla #getyourcoffeegetastory #kopidisolo #kopidiums #coffeeshopsolo #kopisusu #kopiums,,https://instagram.fcgk5-1.fna.fbcdn.net/v/t51.2885-15/e35/89468969_294099428223149_3680462293395898218_n.jpg?_nc_ht=instagram.fcgk5-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=OZWIKQ00NSgAX_LtjRv&oh=a22b775d3fa868f8419ccc54e3200b7f&oe=5F3BCC05
