upload,caption,likes_list,hashtag,location,photo
2020-07-16T12:47:17.000Z,"Sungguh, aku menikmati rangkaian kata yang berbentuk kalimat indah darimu.Tentang kesederhanaan, kesabaran, dan terkadang dewasamu.#segelaskopiuntukkawan #serujukcoffee",50 likes,#segelaskopiuntukkawan #serujukcoffee,,https://instagram.fcgk4-2.fna.fbcdn.net/v/t51.2885-15/e35/108005689_143331794055006_5678981293736816424_n.jpg?_nc_ht=instagram.fcgk4-2.fna.fbcdn.net&_nc_cat=106&_nc_ohc=FxbxNzs_YbAAX9Q5OFt&oh=54136c6f7d9c8cedba51e6d606d3c6a7&oe=5F3CE2EE
2020-07-14T09:32:31.000Z,"Berawal dari menyesuaikan keadaan, kami hadirkan si cantik ini untuk kawan.Kebetulan ia bisa jadi penawar untuk segala bentuk kesedihan. Cari tau siapa namanya dengan mampir ke serujuk yaaa ✨#segelaskopiuntukkawan #serujukcoffee",51 likes,#segelaskopiuntukkawan #serujukcoffee,,https://instagram.fcgk4-3.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/107928686_136578371423696_2605825205060430203_n.jpg?_nc_ht=instagram.fcgk4-3.fna.fbcdn.net&_nc_cat=108&_nc_ohc=nNpyToGQNgEAX93u6k5&oh=05b41b0804341d1e9888108834cd5742&oe=5F3CC960
2020-07-11T08:43:38.000Z,"New Normal?Sebagian orang tetap ketakutan, sebagian yang lain bahkan tidak menghiraukan.Terlepas dari semua itu, kita layak menjaga baik diri maupun orang di sekitar kita. Ciptakan rasa aman dan nyaman.Jangan lupa malam mingguan kawan 👫#segelaskopiuntukkawan #malemmingguan#serujukcoffee",105 likes,#segelaskopiuntukkawan #malemmingguan #serujukcoffee,https://www.instagram.com/explore/locations/228204735/surakarta/,https://instagram.fcgk5-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/107399613_322297372111214_6031250597697151497_n.jpg?_nc_ht=instagram.fcgk5-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=AeQ4sTnMwMYAX_1b8jB&oh=1998256ad74324339248ac023a3c531c&oe=5F3C2CB1
2020-07-08T08:45:31.000Z,"Tidak hanya seduhan kopi pilihan, ada beberapa racikan spesial yang kami ciptakan untuk kawan.Signature ""Secret Admirer"", citarasa kesegaran buah-buahan ini bisa jadi alternatif untuk kalian.Cuaca hari ini juga cukup terik kan?#segelaskopiuntukkawan #serujukcoffee",356 views,#segelaskopiuntukkawan #serujukcoffee,https://www.instagram.com/explore/locations/228204735/surakarta/,https://instagram.fcgk4-2.fna.fbcdn.net/v/t50.2886-16/108136702_3418859111481897_1811723998360965952_n.mp4?_nc_ht=instagram.fcgk4-2.fna.fbcdn.net&_nc_cat=109&_nc_ohc=hFQilPi-49QAX-yVuiC&oe=5F14CB8F&oh=6c07197cf8e23b3bc62cb2bd64a136dc
2020-06-28T10:17:55.000Z,"Masih dalam suasana akhir pekan,Tidak ada salahnya untuk sejenak mengistirahatkan fikiran.Lebih tenang, dan bersiap untuk hari yang akan datang. #segelaskopiuntukkawan #serujukcoffee",37 likes,#segelaskopiuntukkawan #serujukcoffee,https://www.instagram.com/explore/locations/228204735/surakarta/,https://instagram.fcgk5-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/105978107_719818158784087_1906801702959552872_n.jpg?_nc_ht=instagram.fcgk5-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=wGgvjpwLCoQAX-0hNao&oh=e14bddae156e93633f06b8bee1780579&oe=5F3B86C4
2020-06-20T12:08:12.000Z,"Secara tidak langsung,kami jadi bagian pendukung kawan kawan mahasiswa di UMS.Beberapa diskusi terjalin di dalam ruang- ruang konsentrasi kami.kami tunggu kedatanganmu di tempat kami yaa 🙌🏻",133 likes,,https://www.instagram.com/explore/locations/296700627/ums-surakarta/,https://instagram.fcgk4-4.fna.fbcdn.net/v/t51.2885-15/e35/104682992_130486608675339_5343406425961820699_n.jpg?_nc_ht=instagram.fcgk4-4.fna.fbcdn.net&_nc_cat=103&_nc_ohc=-yWS330K6YgAX8VID6W&oh=13427c58b6fe57bf0f7304c97d3d0beb&oe=5F3C2267
2020-06-18T09:32:22.000Z,"Tak perlu takut kelaparan,Duduk nugas berlamaan di serujuk kawan.Hanya dengan 23 Ribu kamu sudah bisa lebih tenang, karna perutmu pasti akan kenyang.Paket hemat - 23 KKopi Kawan + Donut/Cheese Stick#segelaskopiuntukkawan #pakethemat",34 likes,#segelaskopiuntukkawan #pakethemat,https://www.instagram.com/explore/locations/228204735/surakarta/,https://instagram.fcgk5-1.fna.fbcdn.net/v/t51.2885-15/e35/104096214_277923216899395_4823015834776075029_n.jpg?_nc_ht=instagram.fcgk5-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=6q25ZB0maNwAX-qD3r8&oh=a8f91aacea00327e44c0216d84435b0d&oe=5F3D51EF
2020-06-17T14:11:53.000Z,"Varian Kopi Susu Kawan yang nikmat ditambah dengan Donut yang lezat, jadi kombinasi yang tepat untuk kawan.Selain hemat, paket ini jadi pilihan tepat. hausmu terobati, laparmu apalagi?#segelaskopiuntukkawan#serujukcoffee",327 views,#segelaskopiuntukkawan #serujukcoffee,https://www.instagram.com/explore/locations/296700627/ums-surakarta/,https://instagram.fcgk4-2.fna.fbcdn.net/v/t50.2886-16/104796594_3017759398450737_1522046864963670245_n.mp4?_nc_ht=instagram.fcgk4-2.fna.fbcdn.net&_nc_cat=109&_nc_ohc=KfhxBpkZUH4AX9KZDmA&oe=5F14AA1D&oh=69c1eac0512b6fadb48ccedcc8f8e81f
2020-06-15T12:40:04.000Z,"Serujuk Playlist untuk Kawan VOL.2Ada beberapa lantunan baru, namun bukan dangdut.Isinya sedikit, karena sebagian lainnya bisa kalian request untuk kita dengarkan bersama.#playlistuntukkawan#paylistuntukkawanvol2#segelaskopiuntukkawan",43 likes,#playlistuntukkawan #paylistuntukkawanvol2 #segelaskopiuntukkawan,,https://instagram.fcgk5-1.fna.fbcdn.net/v/t51.2885-15/e35/103469539_926493251148722_852371933447275538_n.jpg?_nc_ht=instagram.fcgk5-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=-uK6vb9TG9QAX_Gd3Fh&oh=e95446f5feb97fe706ad57029429f51e&oe=5F3A53E5
2020-06-12T11:00:12.000Z,"“Waaa ini rekomendasi enak, ngopi sini, ngopa ngopi tapi aja lali rabi” - Rois MustadhafinSama seperti kata kawan Rois, bean ini jadi rekomendasi minggu ini.Ada karya dari @koeslanscoffee & @thecreatorcoffee yang siap menemani akhir pekanmu di Serujuk ✨",50 likes,,https://www.instagram.com/explore/locations/228204735/surakarta/,https://instagram.fcgk5-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/103546217_502116953841581_2657299226135228897_n.jpg?_nc_ht=instagram.fcgk5-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=2je6JUFHaPsAX_mTLge&oh=97b1770d7d91f751f2c1d2825513a619&oe=5F3DB106
