upload,caption,likes_list,hashtag,location,photo
2020-07-15T07:20:23.000Z,"Hai #SobatKopi, kali ini mimin akan kasih info tentang memilih biji kopi terbaik, yuk cek 🥳.1. Jika kamu menemukan jenis kopi baru yang baru pertama kali kamu temui, maka sebelum membeli dalam jumlah banyak, ada baiknya membeli dalam jumlah sedikit terlebih dahulu. Jika sudah merasa cocok, barulah kamu dapat membeli dalam jumlah banyak..2. Pastikan kamu mengetahui kapan biji kopi tersebut disangrai. Hal ini sangat penting untuk memastikan kamu mendapatkan kopi yang masih segar..3. Untuk menentukan atau mengetahui kualitas kopi, maka akan lebih baik jika kamu mencari banyak referensi mengenai kualitas sebuah kopi. Selain itu kamu dapat pula mencari banyak rekomendasi dari teman mengenai rekomendasi agen kopi terbaik..4. Dengan cara ini kamu dapat mengetahui apakah biji tersebut memiliki kualitas yang baik atau biasa-biasa saja. Jika biji kopi memiliki aroma yang tebal, maka kualitasnya pun sudah dapat dipastikan baik. Namun jika biji kopi tidak tercium wanginya, maka kualitasnya pun meragukan..Itulah tips yang bisa #SobatKopi lakukan dalam menentukan dan mengetahui kualitas biji kopi yang baik 😊.Ada tips lain? Yuk share di kolom komentar 😘.#bijikopi #memilihbijikopi #tipskopi #SOLOKOPI #infosolo #cafesolo",31 likes,#SobatKopi #SobatKopi #bijikopi #memilihbijikopi #tipskopi #SOLOKOPI #infosolo #cafesolo,,https://instagram.fcgk4-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/107557745_519465802103640_9208671816749878751_n.jpg?_nc_ht=instagram.fcgk4-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=2s2uYoPKDhMAX9T8axv&oh=c6f7432e567ac73df794f26cb5c97c24&oe=5F3CC68F
2020-07-13T10:02:25.000Z,"Hai hai #SobatKopi 😃🖐️ sudah ngopi hari ini? Kalau belum yuk cus nanti malam ke #SoloKopi 😍.Suasana malam di sini syahdu banget lho, cozy dan instagramable. Menu kopinya juga lengkap 😍.SOLOKOPI brewing everyday mulai pukul 09.00 - 23.00 WIB .#cafesolo #kopisoloenak #kopiindonesia #cafesurakarta #solo #kabarsolo #solobaru #infosolo",104 likes,#SobatKopi #SoloKopi #cafesolo #kopisoloenak #kopiindonesia #cafesurakarta #solo #kabarsolo #solobaru #infosolo,,https://instagram.fcgk4-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/108218111_189345112537535_7804193750472950661_n.jpg?_nc_ht=instagram.fcgk4-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=LB6gQ4A1VfwAX_Plb97&oh=8b9c680ead3488fd45ddfaf59918eb1d&oe=5F3A40E8
2020-07-11T07:04:45.000Z,Terima kasih untuk temen-temen gowesers yang sudah mampir ke #SoloKopi 😊🤗.Ditunggu kedatangan selanjutnya dan keep safety ya...😍😍.SoloKopi brewing everyday mulai pukul 09.00 - 23.00 WIB..#goweser #gowesnusantara #goweserindonesia #sepeda #komunitassepeda #solo #infosolo #kopisolo,144 likes,#SoloKopi #goweser #gowesnusantara #goweserindonesia #sepeda #komunitassepeda #solo #infosolo #kopisolo,,https://instagram.fcgk4-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/107516099_327185774966686_8234606269474614285_n.jpg?_nc_ht=instagram.fcgk4-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=E1rHXN3hvpEAX_lUbhF&oh=ff50c33f598830a83e22a68c4e44063b&oe=5F3B4146
2020-07-09T07:03:10.000Z,"Biar makin semangat siang ini, kita main game ketelitian yuk! 😍.Hayo kira-kira dari clue di atas apa jawaban yang tepat? Kalau tau langsung aja jawab di kolom komentar ya 🥳🥳.#SOLOKOPI #kopisolo #coffee #infosolo #exploresolo #exploreklaten #game #tebaktebakan",38 likes,#SOLOKOPI #kopisolo #coffee #infosolo #exploresolo #exploreklaten #game #tebaktebakan,https://www.instagram.com/explore/locations/530968790733976/solo-kopi/,https://instagram.fcgk4-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/106589062_3316993915029119_2802251405326577920_n.jpg?_nc_ht=instagram.fcgk4-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=0LkQZGeyAhgAX9OlJQ5&oh=162ccd44842591b9f31219a094111f90&oe=5F3D2F08
2020-07-07T05:17:35.000Z,"Tidak ada kemenangan dari perjuangan yang mudah dan biasa-biasa saja. Maka, #SobatKopi jangan pernah menyerah bekerja keras ya.. 🤗.Dan jangan lupa sruput kopimu ☕😊.Kalau cari tempat ngopi yang asyik dan good atmosphere, langsung cus ke Solo Kopi aja ya... 😍.#solokopi #kopisolo #exploresolo #infosolo #infosurakarta #kopisoloenak #kopiterbaik #exploreklaten",61 likes,#SobatKopi #solokopi #kopisolo #exploresolo #infosolo #infosurakarta #kopisoloenak #kopiterbaik #exploreklaten,,https://instagram.fcgk4-4.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/107101985_1276664789341695_789616905134053715_n.jpg?_nc_ht=instagram.fcgk4-4.fna.fbcdn.net&_nc_cat=103&_nc_ohc=flVLPD5IBGcAX8qC1UY&oh=9535b43af1fcb7770304526be4389fe6&oe=5F3C16CF
2020-07-05T08:24:24.000Z,"Kini, #SoloKopi sudah menerapkan batas antrian dan acrylic shield. Jadi, kamu bisa tetap ngopi dengan nyaman dan tenang 😊.Covid memang memisahkan kita, tapi secangkir kopi harus terus menyatukan kita 😃😍.Solo Kopi brewing everyday ya.. mulai pukul 09.00 - 23.00 WIB.#solo #infosolo #exploresolo #kopisoloenak #solohits #infosurakarta #infosoloraya #cafehitssolo #kopikekinian",99 likes,#SoloKopi #solo #infosolo #exploresolo #kopisoloenak #solohits #infosurakarta #infosoloraya #cafehitssolo #kopikekinian,https://www.instagram.com/explore/locations/530968790733976/solo-kopi/,https://instagram.fcgk4-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/106376956_277898670095111_7791804867754654948_n.jpg?_nc_ht=instagram.fcgk4-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=DJl3w-IFlWEAX-nmBKJ&oh=8cb790da46bb7f11a23b351dc1403c78&oe=5F3BAD6D
2020-07-03T08:05:22.000Z,"Coba kasih tau mimin kamu suka varian kopi apa? Siapa tau bisa ngopi bareng mimin nanti 🤭😃.Btw, selamat weekend ya teman-teman. Jangan lupa ngopi ya 😃🖐️.SOLO KOPI buka setiap hari, mulai jam 09.00 - 23.00 WIB. Gass yukkk ☕☕.#kopisoloenak #friday #tgif #solo #exploresolo #kopisurakarta #variankopi #jeniskopi",112 likes,#kopisoloenak #friday #tgif #solo #exploresolo #kopisurakarta #variankopi #jeniskopi,https://www.instagram.com/explore/locations/530968790733976/solo-kopi/,https://instagram.fcgk4-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/83749763_1955728881226919_4071825583045393493_n.jpg?_nc_ht=instagram.fcgk4-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=GhfIo4JwXw4AX_pjLJB&oh=cecbb8ef02a43deaeddcbbb003d32277&oe=5F3BA86E
2020-07-01T08:06:15.000Z,Liberica Space menjadi bagian dari Solo Kopi untuk kamu yang butuh ruang diskusi atau meeting dengan lebih privat..Liberica Space juga cocok untuk melakukan kegiatan seperti Jamming Session atau Podcast karena backgroundnya fotogenic abis! 😍😍.Mau tanya-tanya soal Liberca Space? Langsung klik link di Bio ya 😊.#workingspace #workoncafe #coworkingspace #solo #meeting #tempatmeetingsolo #solokopi #cafesolo,55 likes,#workingspace #workoncafe #coworkingspace #solo #meeting #tempatmeetingsolo #solokopi #cafesolo,,https://instagram.fcgk4-4.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/77152866_594400018141513_6468388950157442162_n.jpg?_nc_ht=instagram.fcgk4-4.fna.fbcdn.net&_nc_cat=101&_nc_ohc=G-foOp-D7rUAX-W7yyF&oh=eca230fe61a4b73aabfa84952c38ede2&oe=5F3BB00E
2020-06-29T09:05:59.000Z,"Jadi, bagaimana hari Seninmu? Semuanya berjalan lancar kan?.Sepenat apapun dirimu, jangan lupa untuk rehat ya.. jangan lupa disruput juga kopinya ☕ Kalau cari suasana yang cozy, bisa mampir ke #SoloKopi..Tenang, nanti kita buatkan kopi paling spesial untukmu 😊.#senin #mondaymood #motivation #coffee #kopisenin #kopinikmat #kopilokal #coffeeshop #infosolo",53 likes,#SoloKopi #senin #mondaymood #motivation #coffee #kopisenin #kopinikmat #kopilokal #coffeeshop #infosolo,https://www.instagram.com/explore/locations/530968790733976/solo-kopi/,https://instagram.fcgk5-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/106229589_134207398297073_3892919233928374913_n.jpg?_nc_ht=instagram.fcgk5-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=UCQc7Cvn79IAX-xgueF&oh=75841dfc712beee82b8e930826e18474&oe=5F3C684F
2020-06-27T08:35:00.000Z,"Hai, hai #SobatKopi 😃🖐️ Sudah mau malam minggu nih, itu tandanya liburan telah tiba 🥳🥳.Btw, kalau kamu masih bingung malam mingguan di mana, mending cus ke Solo Kopi aja yuk! 😊.Solo Kopi brewing everyday lho. Mulai pukul 09.00 - 23.00 WIB..Jangan lupa ajak sahabat atau yang tersayang ya.. 🤗🤗.#cafe #coffeeshop #kopidisolo #kopimalam #kopisurakarta #infosolo #soloraya",321 views,#SobatKopi #cafe #coffeeshop #kopidisolo #kopimalam #kopisurakarta #infosolo #soloraya,https://www.instagram.com/explore/locations/530968790733976/solo-kopi/,https://instagram.fcgk4-1.fna.fbcdn.net/v/t50.2886-16/105985380_583095855674459_8946123183486978236_n.mp4?_nc_ht=instagram.fcgk4-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=k-yDpiFQYEgAX9-pQ1z&oe=5F14CD51&oh=f8e07138a7f59bfc6d732fe2b8b3ae57
