upload,caption,likes_list,hashtag,location,photo
2020-07-18T03:59:25.000Z,•Saturday morning... 🌤@thetower_space.SABTU 07.30 - 24.00MINGGU 07.30 - 23.00,16 likes,,,https://instagram.fcgk4-4.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/108320431_579314389441141_1797055103407388622_n.jpg?_nc_ht=instagram.fcgk4-4.fna.fbcdn.net&_nc_cat=101&_nc_ohc=RekEIkxy80sAX9Gz_3M&oh=cd73928b5588e928abadff3f524553e8&oe=5F3BC56A
2020-07-18T01:06:39.000Z,•Yummy yuuum!Bubur Ayam / AtiAmpela / Usus / Mix dimakan bareng Siomay Goreng plus Teh Anget?.Enjoy your Saturday Morning with us!.Kita udah buka yaaaa! ;),24 likes,,,https://instagram.fcgk5-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/108204249_284030409598651_7151523254823494406_n.jpg?_nc_ht=instagram.fcgk5-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=iwjspimdKHIAX-yh7d2&oh=07e1c0c75df60add7f870f0f3cead8ac&oe=5F3AEDF7
2020-07-17T10:56:32.000Z,•Jumat malam? Yuk saatnya gowes ke @thetower_space 🚴🏻.Hari ini kita buka sampai jam 12 malam ya ;),30 likes,,,https://instagram.fcgk4-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/110230653_925815387844512_7195656775483767375_n.jpg?_nc_ht=instagram.fcgk4-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=8ZCPmvM3EFEAX8dhJ2w&oh=ba3527a86d8edbe94f2bdfe0b40f1d29&oe=5F3D64D9
2020-07-17T10:38:55.000Z,•Snacking time!Cheese Stick - Tape Stick - Jamur Crispy - Chicken Popcorn.Yang mana favorit kamu?,16 likes,,,https://instagram.fcgk5-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/109238677_898452857309621_4427065371347865797_n.jpg?_nc_ht=instagram.fcgk5-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=Tb0OSyl2FW4AX_HodMw&oh=52815072d254fe1489c514cae9ef80a6&oe=5F3C0E80
2020-07-17T07:27:50.000Z,•The Tower Space x Kedai Kopi KuloOPEN DAILY:MONDAY - FRIDAY 10.00 - 24.00SATURDAY 07.30 - 24.00SUNDAY 07.30 - 23.00..Jl. Duwet V No 14 Karangasem Laweyan Solo 57145.Maps : The Tower SpaceGoFood / GRAB : Kedai Kopi Kulo Karangasem.#thetowerspace #nospacebetweenus #coffeeshopsolo #kopisolo #tempatnongkrongsolo,26 likes,#thetowerspace #nospacebetweenus #coffeeshopsolo #kopisolo #tempatnongkrongsolo,,https://instagram.fcgk5-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/109322355_203253597782527_7578672307597983432_n.jpg?_nc_ht=instagram.fcgk5-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=bCWSFOnXfskAX-49v5C&oh=6c46450eb577baa7f227e544d0044626&oe=5F3B1757
2020-07-15T04:45:57.000Z,•The Tower Space x Kedai Kopi KuloOPEN DAILY:MONDAY - FRIDAY 10.00 - 24.00SATURDAY 07.30 - 24.00SUNDAY 07.30 - 23.00..Jl. Duwet V No 14 Karangasem Laweyan Solo 57145.Maps : The Tower SpaceGoFood / GRAB : Kedai Kopi Kulo Karangasem.#thetowerspace #nospacebetweenus #coffeeshopsolo #kopisolo #tempatnongkrongsolo,30 likes,#thetowerspace #nospacebetweenus #coffeeshopsolo #kopisolo #tempatnongkrongsolo,,https://instagram.fcgk4-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/107952116_127111042380852_780922395278224375_n.jpg?_nc_ht=instagram.fcgk4-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=7FEpH5rprTgAX-dU0oQ&oh=4f2333927013f92c3911f14739fc39fd&oe=5F3DDE53
2020-07-13T12:05:40.000Z,•The Tower Space x Kedai Kopi KuloOPEN DAILY:MONDAY - FRIDAY 10.00 - 24.00SATURDAY 07.30 - 24.00SUNDAY 07.30 - 23.00..Jl. Duwet V No 14 Karangasem Laweyan Solo 57145.Maps : The Tower SpaceGoFood / GRAB : Kedai Kopi Kulo Karangasem.#thetowerspace #nospacebetweenus #coffeeshopsolo #kopisolo #tempatnongkrongsolo,49 likes,#thetowerspace #nospacebetweenus #coffeeshopsolo #kopisolo #tempatnongkrongsolo,,https://instagram.fcgk5-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/109464835_632435720712686_2962409034087497676_n.jpg?_nc_ht=instagram.fcgk5-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=ECh0Yp4lNngAX-f0H-C&oh=e711eaaaab33669ff78336871ccc3c5f&oe=5F3C9A43
2020-07-11T07:20:06.000Z,"•One fine morning...Jangan lupa, setiap SABTU & MINGGU, kita buka jam 07.30 ya, ada menu spesial bubur ayam / usus / atiampela / mix, siomay goreng / udang mayonnaise, lebih pas lagi sambil ditemenin secangkir teh / kopi hangat....Yuk?Aku tunggu kamu besok pagi ya ;)",20 likes,,,https://instagram.fcgk4-3.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/106923915_1199753183697860_3803594774556835067_n.jpg?_nc_ht=instagram.fcgk4-3.fna.fbcdn.net&_nc_cat=108&_nc_ohc=Rc4h0ajVFUYAX-kOyaI&oh=672777565aa6676c4ecadaa660ec1428&oe=5F3CE098
2020-07-11T01:24:34.000Z,"•Yum!Breakfast A : Bubur Ayam + Hot Tea (13k)Breakfast B : Bubur Ayam + Siomay Goreng + Hot Tea (20k).Every Saturday & Sunday, start 07.30 yah!",21 likes,,,https://instagram.fcgk4-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/107085008_928983887616778_1668820297401785270_n.jpg?_nc_ht=instagram.fcgk4-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=-5JlVBlBT6EAX-8_0wh&oh=f8ed84de99e293bb567547262643f0c6&oe=5F3D0C7B
2020-07-11T01:15:18.000Z,"•Yay, selamat hari Sabtu!Kita sudah buka dari jam 07.30 ya, ada spesial menu Bubur Ayam 10k ONLY!Yuk?",34 likes,,,https://instagram.fcgk4-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/107461905_564705350879964_8567560268135777089_n.jpg?_nc_ht=instagram.fcgk4-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=HTECB_Q1NU8AX8uzPsr&oh=7db4b20dd25d94b6114a0158e22510cd&oe=5F3DF1D4
2020-07-10T05:09:39.000Z,•New spot added. 👨🏻‍💻☕️.Hari ini kita buka jam 10.00 - 24.00 yah ;),22 likes,,,https://instagram.fcgk4-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/108136725_754247175345480_7384600388844548108_n.jpg?_nc_ht=instagram.fcgk4-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=5WtttoB9UkQAX_eDMWp&oh=1ef097c3b0b414945b28578ef828e5a3&oe=5F3CAC9B
2020-07-09T10:01:14.000Z,•Love between Mom & Son 🖤,54 likes,,,https://instagram.fcgk4-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/106599922_3247087621981331_5911825665599555276_n.jpg?_nc_ht=instagram.fcgk4-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=9luKUvRQa1EAX-7vDqC&oh=a60b70b384a9a72987ac9204eed234b2&oe=5F3B4094
2020-07-07T10:44:28.000Z,•#nospacebetweenus,34 likes,#nospacebetweenus,,https://instagram.fcgk4-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/106701385_1120093465043195_7759510154021114059_n.jpg?_nc_ht=instagram.fcgk4-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=ouPxZWFmoaoAX_MESnG&oh=19bee43272deed6e8a1c9086c82f094b&oe=5F3D5167
